Gene Name,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
CCNA_02056,163660,150350,161110,168890,195650,175780
CCNA_01443,72484,39020,36319,170800,211910,191390
CCNA_02072,320760,245400,162110,239850,262960,242340
CCNA_01453,2600300,1871500,2277300,1781700,2123400,1443500
scpB,231330,218830,252680,235070,264720,277090
CCNA_02113,284950,244430,304240,290270,351850,368520
CCNA_02165,26700,19467,19314,30651,33543,30664
sspB,2393600,2088800,3011900,2321700,2874900,3033100
CCNA_02218,235350,203260,203880,158880,189770,173620
CCNA_02223,1542600,1240000,1573600,907350,1125400,899230
kdpE,118690,87453,77292,109210,139190,115320
CCNA_01672,120440,106760,99475,95911,108240,92337
CCNA_01977,168510,140710,88539,137880,157360,180690
gmk,905370,746730,738380,720840,891760,984120
CCNA_02006,405520,275270,209470,321220,372850,376540
CCNA_01176,753310,765210,1008600,562860,688200,706820
CCNA_01804,894130,796920,1347000,954250,1103400,1202800
hfsL,62969,57594,40763,43406,47626,59402
CCNA_02073,33876,24044,37770,26777,31938,29470
CCNA_01833,81376,69513,89279,47914,56925,46481
CCNA_01227,164880,156720,245870,221240,286340,295170
CCNA_02102,101980,87255,65639,86003,98144,85952
CCNA_02414,24763,22478,21471,24261,24646,24947
rplV,4686900,4509100,2811800,3833300,4033100,3309300
CCNA_01924,103670,86106,99302,86625,93685,80340
CCNA_02504,74400,65703,62185,80548,88388,89074
CCNA_02007,176800,124740,46761,134610,126500,108970
hfsD,108920,80993,93694,103230,119420,99354
acrB4,135290,136320,106020,122340,150390,115330
tmk,234600,208640,311980,298550,345080,378570
CCNA_02270,105040,71319,75192,71921,88380,69292
CCNA_02568,53164,42452,33506,47926,56926,50269
CCNA_02573,96413,95827,131750,111380,143360,163970
CCNA_01930,35589,35571,23514,28851,31992,33731
purQ,2568800,2286800,2569600,1848500,2096900,2194800
CCNA_02301,644690,556270,568030,506220,613850,613260
CCNA_02597,1301200,1039100,1219900,488170,557130,453480
CCNA_02350,948780,1027500,1385400,1087900,1142000,1027400
CCNA_01520,722200,678800,729370,874920,1095200,1049200
flaF,758370,694710,994300,785750,1074200,957250
nnrE,70026,56217,35435,54785,61897,52968
CCNA_02405,320490,282530,211820,229790,240810,166200
CCNA_02410,37121,36693,58812,55123,65257,57358
CCNA_02184,208270,202490,309210,236100,256150,329620
CCNA_02449,217190,175190,268630,203570,262340,243380
CCNA_02210,314060,231440,347300,249040,288450,260010
prmA,98209,77266,29614,54529,57073,47162
vanR,151120,127350,150940,117450,141270,130770
flgH,48415,50294,47440,50315,59459,77877
CCNA_02591,3129500,2620700,4901500,3656900,4377100,4021400
CCNA_02406,698630,537040,599560,506060,568730,436950
CCNA_01835,662330,539670,618720,633740,750910,644660
CCNA_02368,112520,97238,128640,106710,124950,113030
CCNA_02996,77025,70532,68677,77105,93246,98244
CCNA_02378,1176600,1415200,1336500,961900,1020600,2312400
vanA,18850,17958,18888,18880,18780,16198
CCNA_02496,106860,103240,104960,84814,98006,101250
CCNA_03153,70757,65592,110030,93900,107060,92975
nuoN,2855700,2683800,1781600,1635800,1734200,1495000
CCNA_02904,50158,40292,27989,39199,50510,44656
CCNA_03222,44124,36920,27846,27843,29226,28036
CCNA_03059,351840,308140,268950,294760,330460,302200
CCNA_03320,208290,102050,167740,95620,101810,55571
CCNA_02755,381680,292680,357550,322530,414770,299960
CCNA_02741,4845000,5001900,4826400,3865800,4563300,5336800
CCNA_02186,1699700,1416800,1036300,719860,842080,596020
msrP,78207,58944,82733,74394,89866,68271
CCNA_03185,1132200,1060200,1494700,1305200,1646500,1789200
CCNA_03202,1562800,1362400,1539700,1284100,1550300,1274600
